Elaboracion,Periodo,Pais,Negocio,Concepto,Clasificación,Cohort_Act,Valor,Escenario 
07-01-2025,01-01-2025,CL,PYME,Clientes,Active,<2024,"1,108.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Active,2024,"2,352.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Active,2025,409.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,New Active,,409.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Old Active,<2024,"1,108.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Old Active,2024,"2,352.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Old Active,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Old Operados,<2024,799.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Old Operados,2024,"1,387.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Old Operados,2025,,Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,% OldOp/OldActive,<2024,0.72111913357,Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,% OldOp/OldActive,2024,0.58971088435,Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,% OldOp/OldActive,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Total Operados,<2024,799.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Total Operados,2024,"1,387.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Clientes,Total Operados,2025,409.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Bruto,<2024,160.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Bruto,2024,379.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Bruto,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Bruto Acum.,<2024,"6,531.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Bruto Acum.,2024,"2,217.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Bruto Acum.,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Bruto Act,,99.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Bruto Rec,<2024,160.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Bruto Rec,2024,280.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Bruto Rec,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Resucitados,<2024,107.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Resucitados,2024,117.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Resucitados,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Neto,<2024,53.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Neto,2024,262.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,Churn Neto,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Churn Bruto,<2024,0.13781223084,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Churn Bruto,2024,0.14498852334,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Churn Bruto,2025,,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Churn Bruto Act,,0.24384236453,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Churn Bruto Rec,<2024,0.13781223084,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Churn Bruto Rec,2024,0.10711553175,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Churn Bruto Rec,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Resurrected,<2024,0.01651744366,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Resurrected,2024,0.05984654731,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Resurrected,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Churn Neto,<2024,0.04565030146,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Churn Neto,2024,0.10022953328,Moderado
07-01-2025,01-01-2025,CL,PYME,Churn,% Churn Neto,2025,,Moderado
07-01-2025,01-01-2025,CL,PYME,Originacion,Activacion,,"8,733,060,658.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Originacion,Recurrencia,<2024,"23,318,395,058.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Originacion,Recurrencia,2024,"32,338,822,521.00000000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Originacion,Recurrencia,2025,,Moderado
07-01-2025,01-01-2025,CL,PYME,Originacion Prom,Activacion,,"21,352,226.54767730000",Moderado
07-01-2025,01-01-2025,CL,PYME,Originacion Prom,Recurrencia,<2024,"29,184,474.41551940000",Moderado
07-01-2025,01-01-2025,CL,PYME,Originacion Prom,Recurrencia,2024,"23,315,661.51478010000",Moderado
07-01-2025,01-01-2025,CL,PYME,Originacion Prom,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Term,,,43.53489936021,Moderado
07-01-2025,01-01-2025,CL,PYME,Term,Recurrencia,,43.86695466866,Moderado
07-01-2025,01-01-2025,CL,PYME,Term,Activacion,,41.41865681085,Moderado
07-01-2025,01-01-2025,CL,PYME,Term,Recurrencia,<2024,42.54179364894,Moderado
07-01-2025,01-01-2025,CL,PYME,Term,Recurrencia,2024,44.82248198118,Moderado
07-01-2025,01-01-2025,CL,PYME,Term,Recurrencia,2025,,Moderado
07-01-2025,01-01-2025,CL,PYME,Rate All In,,,0.01813404061,Moderado
07-01-2025,01-01-2025,CL,PYME,Rate All In,Recurrencia,,0.01772145249,Moderado
07-01-2025,01-01-2025,CL,PYME,Rate All In,Activacion,,0.02091896374,Moderado
07-01-2025,01-01-2025,CL,PYME,Rate All In,Recurrencia,<2024,0.01774352495,Moderado
07-01-2025,01-01-2025,CL,PYME,Rate All In,Recurrencia,2024,0.01770634664,Moderado
07-01-2025,01-01-2025,CL,PYME,Rate All In,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Int Rate,,,0.01496642782,Moderado
07-01-2025,01-01-2025,CL,PYME,Int Rate,Recurrencia,,0.01459968785,Moderado
07-01-2025,01-01-2025,CL,PYME,Int Rate,Activacion,,0.01744188111,Moderado
07-01-2025,01-01-2025,CL,PYME,Int Rate,Recurrencia,<2024,0.01486421881,Moderado
07-01-2025,01-01-2025,CL,PYME,Int Rate,Recurrencia,2024,0.01441864939,Moderado
07-01-2025,01-01-2025,CL,PYME,Int Rate,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,AD Rate,,,0.00316761279,Moderado
07-01-2025,01-01-2025,CL,PYME,AD Rate,Recurrencia,,0.00312176464,Moderado
07-01-2025,01-01-2025,CL,PYME,AD Rate,Activacion,,0.00347708263,Moderado
07-01-2025,01-01-2025,CL,PYME,AD Rate,Recurrencia,<2024,0.00287930615,Moderado
07-01-2025,01-01-2025,CL,PYME,AD Rate,Recurrencia,2024,0.00328769725,Moderado
07-01-2025,01-01-2025,CL,PYME,AD Rate,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Fund Rate,,,0.00800179877,Moderado
07-01-2025,01-01-2025,CL,PYME,Fund Rate,Recurrencia,,0.00806372315,Moderado
07-01-2025,01-01-2025,CL,PYME,Fund Rate,Activacion,,0.00758381622,Moderado
07-01-2025,01-01-2025,CL,PYME,Fund Rate,Recurrencia,<2024,0.00832394557,Moderado
07-01-2025,01-01-2025,CL,PYME,Fund Rate,Recurrencia,2024,0.00788563334,Moderado
07-01-2025,01-01-2025,CL,PYME,Fund Rate,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Spread,,,0.01013224184,Moderado
07-01-2025,01-01-2025,CL,PYME,Spread,Recurrencia,,0.00965772934,Moderado
07-01-2025,01-01-2025,CL,PYME,Spread,Activacion,,0.01333514752,Moderado
07-01-2025,01-01-2025,CL,PYME,Spread,Recurrencia,<2024,0.00941957938,Moderado
07-01-2025,01-01-2025,CL,PYME,Spread,Recurrencia,2024,0.00982071330,Moderado
07-01-2025,01-01-2025,CL,PYME,Spread,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,NTR,,,0.01470353763,Moderado
07-01-2025,01-01-2025,CL,PYME,NTR,Recurrencia,,0.01412183918,Moderado
07-01-2025,01-01-2025,CL,PYME,NTR,Activacion,,0.01841079662,Moderado
07-01-2025,01-01-2025,CL,PYME,NTR,Recurrencia,<2024,0.01335752674,Moderado
07-01-2025,01-01-2025,CL,PYME,NTR,Recurrencia,2024,0.01467295817,Moderado
07-01-2025,01-01-2025,CL,PYME,NTR,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Risk Rate,,,0.00240575630,Moderado
07-01-2025,01-01-2025,CL,PYME,Risk Rate,Recurrencia,,0.00236379549,Moderado
07-01-2025,01-01-2025,CL,PYME,Risk Rate,Activacion,,0.00268898699,Moderado
07-01-2025,01-01-2025,CL,PYME,Risk Rate,Recurrencia,<2024,0.00228372253,Moderado
07-01-2025,01-01-2025,CL,PYME,Risk Rate,Recurrencia,2024,0.00241859545,Moderado
07-01-2025,01-01-2025,CL,PYME,Risk Rate,Recurrencia,2025,,Moderado
07-01-2025,01-01-2025,CL,PYME,Interest Revenue,Activacion,,"210,297,715.39410600000",Moderado
07-01-2025,01-01-2025,CL,PYME,Interest Revenue,Recurrencia,<2024,"491,513,315.23771300000",Moderado
07-01-2025,01-01-2025,CL,PYME,Interest Revenue,Recurrencia,2024,"696,664,099.21141500000",Moderado
07-01-2025,01-01-2025,CL,PYME,Interest Revenue,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,AD Revenue,Activacion,,"41,923,375.57916540000",Moderado
